play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Why, now, sirrah, thou art at an hour?s warning, whensoever",,,,"['sirrah', 'hour', '\x99s', 'warning', 'whensoever']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,or wheresoever the devil shall fetch thee.,,,,"['wheresoever', 'devil', 'shall', 'fetch']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"No, no; here, take your gridirons again.",,,,"['take', 'gridirons']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Truly, I?ll none of them.",,,,"['Truly', '\x99ll', 'none']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Truly, but you shall.",,,,"['Truly', 'shall']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,Bear witness I gave them him.,,,,"['Bear', 'witness', 'gave']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,Bear witness I give them you again.,,,,"['Bear', 'witness', 'give']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, I will cause two devils presently to fetch thee",,,,"['Well', 'cause', 'two', 'devils', 'presently', 'fetch']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,away.?Baliol and Belcher!,,,,"['away', '\x94Baliol', 'Belcher']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"Let your Baliol and your Belcher come here, and I?ll",,,,"['Let', 'Baliol', 'Belcher', 'come', '\x99ll']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"knock them, they were never so knocked since they were devils:",,,,"['knock', 'never', 'knocked', 'since', 'devils']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,"say I should kill one of them, what would folks say?  ?Do ye see",,,,"['say', 'kill', 'one', 'would', 'folks', 'say', '\x9cDo', 'see']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,4,yonder tall fellow in the round slop? he has killed the devil.??,,,,"['yonder', 'tall', 'fellow', 'round', 'slop', 'killed', 'devil.']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,5,So I should be called Kill-devil all the parish over.,,,,"['called', 'Kill-devil', 'parish']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Baliol and Belcher,?spirits, away!",,,,"['Baliol', 'Belcher', '\x94spirits', 'away']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"What, are they gone? a vengeance on them! they have vile",,,,"['gone', 'vengeance', 'vile']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,long nails.  There was a he-devil and a she-devil:  I?ll tell you,,,,"['long', 'nails', 'he-devil', 'she-devil', '\x99ll', 'tell']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,"how you shall know them; all he-devils has horns, and all",,,,"['shall', 'know', 'he-devils', 'horns']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,4,she-devils has clifts and cloven feet.,,,,"['she-devils', 'clifts', 'cloven', 'feet']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, sirrah, follow me.",,,,"['Well', 'sirrah', 'follow']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"But, do you hear? if I should serve you, would you teach",,,,"['hear', 'serve', 'would', 'teach']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,me to raise up Banios and Belcheos?,,,,"['raise', 'Banios', 'Belcheos']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"I will teach thee to turn thyself to any thing, to a dog,",,,,"['teach', 'turn', 'thyself', 'thing', 'dog']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,"or a cat, or a mouse, or a rat, or any thing.",,,,"['cat', 'mouse', 'rat', 'thing']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"How! a Christian fellow to a dog, or a cat, a mouse,",,,,"['Christian', 'fellow', 'dog', 'cat', 'mouse']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"or a rat! no, no, sir; if you turn me into any thing, let it be",,,,"['rat', 'sir', 'turn', 'thing', 'let']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,3,"in the likeness of a little pretty frisking flea, that I may be",,,,"['likeness', 'little', 'pretty', 'frisking', 'flea', 'may']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,4,"here and there and every where:  O, I?ll tickle the pretty wenches??
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,5,plackets!  I?ll be amongst them"," i?faith.""",,,"['every', '\x99ll', 'tickle', 'pretty', 'wenches', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'none,5', 'plackets', '\x99ll', 'amongst']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Well, sirrah, come.",,,,"['Well', 'sirrah', 'come']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"But, do you hear, Wagner?",,,,"['hear', 'Wagner']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,How!?Baliol and Belcher!,,,,"['\x94Baliol', 'Belcher']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"O Lord!  I pray, sir, let Banio and Belcher go sleep.",,,,"['Lord', 'pray', 'sir', 'let', 'Banio', 'Belcher', 'go', 'sleep']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"Villain, call me Master Wagner, and let thy left eye be",,,,"['Villain', 'call', 'Master', 'Wagner', 'let', 'left', 'eye']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,2,"diametarily fixed upon my right heel, with quasi vestigiis",,,,"['diametarily', 'fixed', 'upon', 'right', 'heel', 'quasi', 'vestigiis']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,3,nostris insistere.,,,,"['nostris', 'insistere']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,1,"God forgive me, he speaks Dutch fustian.  Well, I?ll follow",,,,"['God', 'forgive', 'speaks', 'Dutch', 'fustian', 'Well', '\x99ll', 'follow']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,CLOWN,none,none,2,"him; I?ll serve him, that?s flat.",,,,"['\x99ll', 'serve', '\x99s', 'flat']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Now, Faustus, must",,,,"['Faustus', 'must']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Thou needs be damn?d, and canst thou not be sav?d:",,,,"['needs', 'damn', '\x99d', 'canst', 'sav', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"What boots it, then, to think of God or heaven?",,,,"['boots', 'think', 'God', 'heaven']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"Away with such vain fancies, and despair;",,,,"['Away', 'vain', 'fancies', 'despair']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"Despair in God, and trust in Belzebub:",,,,"['Despair', 'God', 'trust', 'Belzebub']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"Now go not backward; no, Faustus, be resolute:",,,,"['go', 'backward', 'Faustus', 'resolute']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,"Why waver?st thou?  O, something soundeth in mine ears,",,,,"['waver', '\x99st', 'something', 'soundeth', 'ears']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,"?Abjure this magic, turn to God again!??
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,9,Ay"," and Faustus will turn to God again.""",,,"['\x9cAbjure', 'magic', 'turn', 'God', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'TRAGICAL', 'HISTORY', 'DOCTOR', 'none,9', 'Ay']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,To God? he loves thee not;,,,,"['God', 'loves']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,"The god thou serv?st is thine own appetite,",,,,"['god', 'serv', '\x99st', 'appetite']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,Wherein is fix?d the love of Belzebub:,,,,"['Wherein', 'fix', '\x99d', 'love', 'Belzebub']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,"To him I?ll build an altar and a church,",,,,"['\x99ll', 'build', 'altar', 'church']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,And offer lukewarm blood of new-born babes.,,,,"['offer', 'lukewarm', 'blood', 'new-born', 'babes']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"Sweet Faustus, leave that execrable art.",,,,"['Sweet', 'Faustus', 'leave', 'execrable']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Contrition, prayer, repentance?what of them?",,,,"['Contrition', 'prayer', 'repentance', '\x94what']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"O, they are means to bring thee unto heaven!",,,,"['means', 'bring', 'unto', 'heaven']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,1,"Rather illusions, fruits of lunacy,",,,,"['Rather', 'illusions', 'fruits', 'lunacy']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,2,That make men foolish that do trust them most.,,,,"['make', 'men', 'foolish', 'trust']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"Sweet Faustus, think of heaven and heavenly things.",,,,"['Sweet', 'Faustus', 'think', 'heaven', 'heavenly', 'things']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,1,"No, Faustus; think of honour and of wealth.",,,,"['Faustus', 'think', 'honour', 'wealth']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Of wealth!,,,,['wealth']
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Why, the signiory of Embden shall be mine.",,,,"['signiory', 'Embden', 'shall']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"When Mephistophilis shall stand by me,",,,,"['Mephistophilis', 'shall', 'stand']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"What god can hurt thee, Faustus? thou art safe",,,,"['god', 'hurt', 'Faustus', 'safe']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"Cast no more doubts.?Come, Mephistophilis,",,,,"['Cast', 'doubts', '\x94Come', 'Mephistophilis']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,And bring glad tidings from great Lucifer;,,,,"['bring', 'glad', 'tidings', 'great', 'Lucifer']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,"Is?t not midnight??come, Mephistophilis,",,,,"['\x99t', 'midnight', '\x94come', 'Mephistophilis']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,"Veni, veni, Mephistophile!",,,,"['Veni', 'veni', 'Mephistophile']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,"Now tell me what says Lucifer, thy lord?",,,,"['tell', 'says', 'Lucifer', 'lord']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"That I shall wait on Faustus whilst he lives,",,,,"['shall', 'wait', 'Faustus', 'whilst', 'lives']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,So he will buy my service with his soul.,,,,"['buy', 'service', 'soul']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Already Faustus hath hazarded that for thee.,,,,"['Already', 'Faustus', 'hazarded']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"But, Faustus, thou must bequeath it solemnly,",,,,"['Faustus', 'must', 'bequeath', 'solemnly']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,And write a deed of gift with thine own blood;,,,,"['write', 'deed', 'gift', 'blood']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,For that security craves great Lucifer.,,,,"['security', 'craves', 'great', 'Lucifer']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,4,"If thou deny it, I will back to hell.",,,,"['deny', 'back', 'hell']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Stay, Mephistophilis, and tell me, what good will my soul",,,,"['Stay', 'Mephistophilis', 'tell', 'good', 'soul']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,do thy lord?,,,,['lord']
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,Enlarge his kingdom.,,,,"['Enlarge', 'kingdom']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Is that the reason why he tempts us thus?,,,,"['reason', 'tempts', 'thus']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,Solamen miseris socios habuisse doloris.,,,,"['Solamen', 'miseris', 'socios', 'habuisse', 'doloris']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Why, have you any pain that torture others!",,,,"['pain', 'torture', 'others']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,As great as have the human souls of men.,,,,"['great', 'human', 'souls', 'men']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,"But, tell me, Faustus, shall I have thy soul?",,,,"['tell', 'Faustus', 'shall', 'soul']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,"And I will be thy slave, and wait on thee,",,,,"['slave', 'wait']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,4,And give thee more than thou hast wit to ask.,,,,"['give', 'wit', 'ask']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Ay, Mephistophilis, I give it thee.",,,,"['Ay', 'Mephistophilis', 'give']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Then, Faustus, stab thine arm courageously,",,,,"['Faustus', 'stab', 'arm', 'courageously']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,"And bind thy soul, that at some certain day",,,,"['bind', 'soul', 'certain', 'day']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,Great Lucifer may claim it as his own;,,,,"['Great', 'Lucifer', 'may', 'claim']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,4,And then be thou as great as Lucifer.,,,,"['great', 'Lucifer']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Lo, Mephistophilis, for love of thee,",,,,"['Lo', 'Mephistophilis', 'love']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"I cut mine arm, and with my proper blood",,,,"['cut', 'arm', 'proper', 'blood']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"Assure my soul to be great Lucifer?s,",,,,"['Assure', 'soul', 'great', 'Lucifer', '\x99s']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,Chief lord and regent of perpetual night!,,,,"['Chief', 'lord', 'regent', 'perpetual', 'night']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"View here the blood that trickles from mine arm,",,,,"['View', 'blood', 'trickles', 'arm']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,And let it be propitious for my wish.,,,,"['let', 'propitious', 'wish']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"But, Faustus, thou must",,,,"['Faustus', 'must']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,Write it in manner of a deed of gift.,,,,"['Write', 'manner', 'deed', 'gift']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Ay, so I will .  But, Mephistophilis,",,,,"['Ay', 'Mephistophilis']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"My blood congeals, and I can write no more.",,,,"['blood', 'congeals', 'write']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,I?ll fetch thee fire to dissolve it straight.,,,,"['\x99ll', 'fetch', 'fire', 'dissolve', 'straight']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,What might the staying of my blood portend?,,,,"['might', 'staying', 'blood', 'portend']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,Is it unwilling I should write this bill?,,,,"['unwilling', 'write', 'bill']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"Why streams it not, that I may write afresh?",,,,"['streams', 'may', 'write', 'afresh']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"FAUSTUS GIVES TO THEE HIS SOUL:  ah, there it stay?d!",,,,"['GIVES', 'SOUL', 'ah', 'stay', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,Why shouldst thou not? is not thy soul shine own?,,,,"['soul', 'shine']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"Then write again, FAUSTUS GIVES TO THEE HIS SOUL.",,,,"['write', 'GIVES', 'SOUL']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Here?s fire; come, Faustus, set it on.",,,,"['\x99s', 'fire', 'come', 'Faustus', 'set']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"So, now the blood begins to clear again;",,,,"['blood', 'begins', 'clear']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,Now will I make an end immediately.,,,,"['make', 'end', 'immediately']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"O, what will not I do to obtain his soul?",,,,"['obtain', 'soul']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Consummatum est; this bill is ended,",,,,"['Consummatum', 'est', 'bill', 'ended']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,And Faustus hath bequeath?d his soul to Lucifer.,,,,"['Faustus', 'bequeath', '\x99d', 'soul', 'Lucifer']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,But what is this inscription on mine arm?,,,,"['inscription', 'arm']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"Homo, fuge:  whither should I fly?",,,,"['Homo', 'fuge', 'whither', 'fly']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"If unto God, he?ll throw me down to hell.",,,,"['unto', 'God', '\x99ll', 'throw', 'hell']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,My senses are deceiv?d; here?s nothing writ:,,,,"['senses', 'deceiv', '\x99d', '\x99s', 'nothing', 'writ']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,"I see it plain; here in this place is writ,",,,,"['see', 'plain', 'place', 'writ']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,"Homo, fuge:  yet shall not Faustus fly.",,,,"['Homo', 'fuge', 'yet', 'shall', 'Faustus', 'fly']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,I?ll fetch him somewhat to delight his mind.,,,,"['\x99ll', 'fetch', 'somewhat', 'delight', 'mind']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Speak, Mephistophilis, what means this show?",,,,"['Speak', 'Mephistophilis', 'means', 'show']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Nothing, Faustus, but to delight thy mind withal,",,,,"['Nothing', 'Faustus', 'delight', 'mind', 'withal']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,And to shew thee what magic can perform.,,,,"['shew', 'magic', 'perform']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,But may I raise up spirits when I please?,,,,"['may', 'raise', 'spirits', 'please']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Ay, Faustus, and do greater things than these.",,,,"['Ay', 'Faustus', 'greater', 'things']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Then there?s enough for a thousand souls.,,,,"['\x99s', 'enough', 'thousand', 'souls']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Here, Mephistophilis, receive this scroll,",,,,"['Mephistophilis', 'receive', 'scroll']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,A deed of gift of body and of soul:,,,,"['deed', 'gift', 'body', 'soul']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,But yet conditionally that thou perform,,,,"['yet', 'conditionally', 'perform']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,All articles prescrib?d between us both.,,,,"['articles', 'prescrib', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Faustus, I swear by hell and Lucifer",,,,"['Faustus', 'swear', 'hell', 'Lucifer']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,To effect all promises between us made!,,,,"['effect', 'promises', 'made']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Then hear me read them.   ON THESE CONDITIONS,,,,"['hear', 'read', 'CONDITIONS']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FOLLOWING,none,none,1,"FIRST, THAT FAUSTUS MAY BE A SPIRIT IN FORM AND",,,,"['FIRST', 'MAY', 'SPIRIT', 'FORM']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,SUBSTANCE,none,none,1,"SECONDLY, THAT MEPHISTOPHILIS SHALL BE HIS SERVANT,",,,,"['SECONDLY', 'MEPHISTOPHILIS', 'SHALL', 'SERVANT']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,AND AT HIS COMMAND,none,none,1,"THIRDLY, THAT MEPHISTOPHILIS SHALL DO FOR HIM,",,,,"['THIRDLY', 'MEPHISTOPHILIS', 'SHALL']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,AND BRING HIM WHATSOEVER HE DESIRES,none,none,1,"FOURTHLY, THAT HE SHALL",,,,"['FOURTHLY', 'SHALL']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,BE IN HIS CHAMBER OR HOUSE INVISIBLE,none,none,1,"LASTLY, THAT HE SHALL APPEAR",,,,"['LASTLY', 'SHALL', 'APPEAR']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,BE IN HIS CHAMBER OR HOUSE INVISIBLE,none,none,2,"TO THE SAID JOHN FAUSTUS, AT ALL TIMES, IN WHAT FORM OR SHAPE",,,,"['SAID', 'JOHN', 'TIMES', 'FORM', 'SHAPE']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,SOEVER HE PLEASE,none,none,1,"I, JOHN FAUSTUS, OF WERTENBERG, DOCTOR, BY",,,,"['JOHN', 'WERTENBERG', 'DOCTOR']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,SOEVER HE PLEASE,none,none,2,"THESE PRESENTS, DO GIVE BOTH BODY AND SOUL TO LUCIFER PRINCE OF",,,,"['PRESENTS', 'GIVE', 'BODY', 'SOUL', 'PRINCE']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,SOEVER HE PLEASE,none,none,3,"THE EAST, AND HIS MINISTER MEPHISTOPHILIS; AND FURTHERMORE GRANT",,,,"['EAST', 'MINISTER', 'MEPHISTOPHILIS', 'FURTHERMORE', 'GRANT']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,SOEVER HE PLEASE,none,none,4,"UNTO THEM, THAT, TWENTY-FOUR YEARS BEING EXPIRED, THE ARTICLES",,,,"['UNTO', 'TWENTY-FOUR', 'YEARS', 'EXPIRED', 'ARTICLES']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,SOEVER HE PLEASE,none,none,5,"ABOVE-WRITTEN INVIOLATE, FULL POWER TO FETCH OR CARRY THE SAID",,,,"['ABOVE-WRITTEN', 'INVIOLATE', 'FULL', 'POWER', 'FETCH', 'CARRY', 'SAID']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,SOEVER HE PLEASE,none,none,6,"JOHN FAUSTUS, BODY AND SOUL, FLESH, BLOOD, OR GOODS, INTO THEIR",,,,"['JOHN', 'BODY', 'SOUL', 'FLESH', 'BLOOD', 'GOODS']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,HABITATION WHERESOEVER,none,none,1,"BY ME, JOHN FAUSTUS.",,,,['JOHN']
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Speak, Faustus, do you deliver this as your deed?",,,,"['Speak', 'Faustus', 'deliver', 'deed']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Ay, take it, and the devil give thee good on?t!",,,,"['Ay', 'take', 'devil', 'give', 'good', '\x99t']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"Now, Faustus, ask what thou wilt.",,,,"['Faustus', 'ask', 'wilt']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,First will I question with thee about hell.,,,,"['First', 'question', 'hell']"
