play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"?Faustus, thou art damn?d!??then swords, and knives,",,,,"['\x9cFaustus', 'damn', '\x99d', 'swords', 'knives']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"Poison, guns, halters, and envenom?d steel",,,,"['Poison', 'guns', 'halters', 'envenom', '\x99d', 'steel']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,Are laid before me to despatch myself;,,,,"['laid', 'despatch']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,"And long ere this I should have slain myself,",,,,"['long', 'slain']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,Had not sweet pleasure conquer?d deep despair.,,,,"['sweet', 'pleasure', 'conquer', '\x99d', 'deep', 'despair']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,Have not I made blind Homer sing to me,,,,"['made', 'blind', 'Homer', 'sing']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,Of Alexander?s love and Oenon?s death?,,,,"['Alexander', '\x99s', 'love', 'Oenon', '\x99s', 'death']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,"And hath not he, that built the walls of Thebes",,,,"['built', 'walls', 'Thebes']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,"With ravishing sound of his melodious harp,",,,,"['ravishing', 'sound', 'melodious', 'harp']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,Made music with my Mephistophilis?,,,,"['Made', 'music', 'Mephistophilis']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,"Why should I die, then, or basely despair?",,,,"['die', 'basely', 'despair']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,15,I am resolv?d; Faustus shall ne?er repent.,,,,"['resolv', '\x99d', 'Faustus', 'shall', 'ne', '\x99er', 'repent']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,16,"Come, Mephistophilis, let us dispute again,",,,,"['Come', 'Mephistophilis', 'let', 'dispute']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,17,And argue of divine astrology.,,,,"['argue', 'divine', 'astrology']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,18,"Tell me, are there many heavens above the moon",,,,"['Tell', 'many', 'heavens', 'moon']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,19,"Are all celestial bodies but one globe,",,,,"['celestial', 'bodies', 'one', 'globe']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,20,As is the substance of this centric earth?,,,,"['substance', 'centric', 'earth']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,"As are the elements, such are the spheres,",,,,"['elements', 'spheres']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,"Mutually folded in each other?s orb,",,,,"['Mutually', 'folded', '\x99s', 'orb']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,"And, Faustus,",,,,['Faustus']
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,4,"All jointly move upon one axletree,",,,,"['jointly', 'move', 'upon', 'one', 'axletree']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,5,Whose terminine is term?d the world?s wide pole;,,,,"['Whose', 'terminine', 'term', '\x99d', 'world', '\x99s', 'wide', 'pole']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,6,"Nor are the names of Saturn, Mars, or Jupiter",,,,"['names', 'Saturn', 'Mars', 'Jupiter']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,7,"Feign?d, but are erring stars.",,,,"['Feign', '\x99d', 'erring', 'stars']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"But, tell me, have they all one motion, both situ et",,,,"['tell', 'one', 'motion', 'situ', 'et']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,tempore?,,,,['tempore']
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,1,All jointly move from east to west in twenty-four hours,,,,"['jointly', 'move', 'east', 'west', 'twenty-four', 'hours']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,2,upon the poles of the world; but differ in their motion upon,,,,"['upon', 'poles', 'world', 'differ', 'motion', 'upon']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,MEPHIST,none,none,3,the poles of the zodiac.,,,,"['poles', 'zodiac']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,"Tush,",,,,['Tush']
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,These slender trifles Wagner can decide:,,,,"['slender', 'trifles', 'Wagner', 'decide']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,Hath Mephistophilis no greater skill?,,,,"['Mephistophilis', 'greater', 'skill']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,Who knows not the double motion of the planets?,,,,"['knows', 'double', 'motion', 'planets']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,The first is finish?d in a natural day;,,,,"['first', 'finish', '\x99d', 'natural', 'day']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,The second thus; as Saturn in thirty years; Jupiter in twelve;,,,,"['second', 'thus', 'Saturn', 'thirty', 'years', 'Jupiter', 'twelve']"
