play_name,character,act,scene,sentence,text
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,4,Perform what desperate enterprise I will?
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,5,"I’ll have them fly to India for gold,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,6,"Ransack the ocean for orient pearl,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,7,And search all corners of the new-found world
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,8,For pleasant fruits and princely delicates;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,9,"I’ll have them read me strange philosophy,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,10,And tell the secrets of all foreign kings;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,11,"I’ll have them wall all Germany with brass,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,12,And make swift Rhine circle fair Wertenberg;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,13,"I’ll have them fill the public schools with silk,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,14,Wherewith the students shall be bravely clad;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,15,"I’ll levy soldiers with the coin they bring,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,16,"And chase the Prince of Parma from our land,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,17,And reign sole king of all the provinces;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,18,"Yea, stranger engines for the brunt of war,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,19,"Than was the fiery keel at Antwerp’s bridge,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,20,I’ll make my servile spirits to invent.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,21,"Come, German Valdes, and Cornelius,"
