play_name,character,act,scene,sentence,text,tokens
The Jew of Malta,BARABAS,ACT I.,none,3,"And bid the merchants and my men despatch,","['bid', 'merchants', 'men', 'despatch']"
The Jew of Malta,BARABAS,ACT I.,none,4,"And come ashore, and see the fraught discharg'd.","['come', 'ashore', 'see', 'fraught', 'discharg']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,I go.,['go']
The Jew of Malta,BARABAS,ACT I.,none,1,"Thus trolls our fortune in by land and sea,","['Thus', 'trolls', 'fortune', 'land', 'sea']"
The Jew of Malta,BARABAS,ACT I.,none,2,And thus are we on every side enrich'd:,"['thus', 'every', 'side', 'enrich']"
The Jew of Malta,BARABAS,ACT I.,none,3,"These are the blessings promis'd to the Jews,","['blessings', 'promis', 'Jews']"
The Jew of Malta,BARABAS,ACT I.,none,4,And herein was old Abraham's happiness:,"['herein', 'old', 'Abraham', 'happiness']"
The Jew of Malta,BARABAS,ACT I.,none,5,What more may heaven do for earthly man,"['may', 'heaven', 'earthly', 'man']"
The Jew of Malta,BARABAS,ACT I.,none,6,"Than thus to pour out plenty in their laps,","['thus', 'pour', 'plenty', 'laps']"
The Jew of Malta,BARABAS,ACT I.,none,7,"Ripping the bowels of the earth for them,","['Ripping', 'bowels', 'earth']"
The Jew of Malta,BARABAS,ACT I.,none,8,"Making the sea their servants, and the winds","['Making', 'sea', 'servants', 'winds']"
The Jew of Malta,BARABAS,ACT I.,none,9,To drive their substance with successful blasts?,"['drive', 'substance', 'successful', 'blasts']"
The Jew of Malta,BARABAS,ACT I.,none,10,Who hateth me but for my happiness?,"['hateth', 'happiness']"
The Jew of Malta,BARABAS,ACT I.,none,11,Or who is honour'd now but for his wealth?,"['honour', 'wealth']"
The Jew of Malta,BARABAS,ACT I.,none,12,"Rather had I, a Jew, be hated thus,","['Rather', 'Jew', 'hated', 'thus']"
The Jew of Malta,BARABAS,ACT I.,none,13,Than pitied in a Christian poverty;,"['pitied', 'Christian', 'poverty']"
The Jew of Malta,BARABAS,ACT I.,none,14,"For I can see no fruits in all their faith,","['see', 'fruits', 'faith']"
The Jew of Malta,BARABAS,ACT I.,none,15,"But malice, falsehood, and excessive pride,","['malice', 'falsehood', 'excessive', 'pride']"
The Jew of Malta,BARABAS,ACT I.,none,16,Which methinks fits not their profession.,"['methinks', 'fits', 'profession']"
The Jew of Malta,BARABAS,ACT I.,none,17,"Haply some hapless man hath conscience,","['Haply', 'hapless', 'man', 'conscience']"
The Jew of Malta,BARABAS,ACT I.,none,18,And for his conscience lives in beggary.,"['conscience', 'lives', 'beggary']"
The Jew of Malta,BARABAS,ACT I.,none,19,They say we are a scatter'd nation:,"['say', 'scatter', 'nation']"
The Jew of Malta,BARABAS,ACT I.,none,20,I cannot tell; but we have scambled up,"['tell', 'scambled']"
The Jew of Malta,BARABAS,ACT I.,none,21,More wealth by far than those that brag of faith:,"['wealth', 'far', 'brag', 'faith']"
The Jew of Malta,BARABAS,ACT I.,none,22,"There's Kirriah Jairim, the great Jew of Greece,","['Kirriah', 'Jairim', 'great', 'Jew', 'Greece']"
The Jew of Malta,BARABAS,ACT I.,none,23,"Obed in Bairseth, Nones in Portugal,","['Obed', 'Bairseth', 'Nones', 'Portugal']"
The Jew of Malta,BARABAS,ACT I.,none,24,"Myself in Malta, some in Italy,","['Malta', 'Italy']"
The Jew of Malta,BARABAS,ACT I.,none,25,"Many in France, and wealthy every one;","['Many', 'France', 'wealthy', 'every', 'one']"
The Jew of Malta,BARABAS,ACT I.,none,26,"Ay, wealthier far than any Christian.","['Ay', 'wealthier', 'far', 'Christian']"
The Jew of Malta,BARABAS,ACT I.,none,27,I must confess we come not to be kings:,"['must', 'confess', 'come', 'kings']"
The Jew of Malta,BARABAS,ACT I.,none,28,"That's not our fault:  alas, our number's few!","['fault', 'number']"
The Jew of Malta,BARABAS,ACT I.,none,29,"And crowns come either by succession,","['crowns', 'come', 'either', 'succession']"
The Jew of Malta,BARABAS,ACT I.,none,30,"Or urg'd by force; and nothing violent,","['urg', 'force', 'nothing', 'violent']"
The Jew of Malta,BARABAS,ACT I.,none,31,"Oft have I heard tell, can be permanent.","['Oft', 'heard', 'tell', 'permanent']"
The Jew of Malta,BARABAS,ACT I.,none,32,"Give us a peaceful rule; make Christians kings,","['Give', 'peaceful', 'rule', 'make', 'Christians', 'kings']"
The Jew of Malta,BARABAS,ACT I.,none,33,That thirst so much for principality.,"['thirst', 'much', 'principality']"
The Jew of Malta,BARABAS,ACT I.,none,34,"I have no charge, nor many children,","['charge', 'many', 'children']"
The Jew of Malta,BARABAS,ACT I.,none,35,"But one sole daughter, whom I hold as dear","['one', 'sole', 'daughter', 'hold', 'dear']"
The Jew of Malta,BARABAS,ACT I.,none,36,As Agamemnon did his Iphigen;,"['Agamemnon', 'Iphigen']"
The Jew of Malta,BARABAS,ACT I.,none,37,And all I have is hers.?But who comes here?,"['\x94But', 'comes']"
The Jew of Malta,FIRST JEW,ACT I.,none,1,"Tush, tell not me; 'twas done of policy.","['Tush', 'tell', ""'t"", 'done', 'policy']"
The Jew of Malta,SECOND JEW,ACT I.,none,1,"Come, therefore, let us go to Barabas;","['Come', 'therefore', 'let', 'go', 'Barabas']"
The Jew of Malta,SECOND JEW,ACT I.,none,2,For he can counsel best in these affairs:,"['counsel', 'best', 'affairs']"
The Jew of Malta,SECOND JEW,ACT I.,none,3,And here he comes.,['comes']
The Jew of Malta,BARABAS,ACT I.,none,1,"Why, how now, countrymen!",['countrymen']
The Jew of Malta,BARABAS,ACT I.,none,2,Why flock you thus to me in multitudes?,"['flock', 'thus', 'multitudes']"
The Jew of Malta,BARABAS,ACT I.,none,3,What accident's betided to the Jews?,"['accident', 'betided', 'Jews']"
The Jew of Malta,FIRST JEW,ACT I.,none,1,"A fleet of warlike galleys, Barabas,","['fleet', 'warlike', 'galleys', 'Barabas']"
The Jew of Malta,FIRST JEW,ACT I.,none,2,"Are come from Turkey, and lie in our road:","['come', 'Turkey', 'lie', 'road']"
The Jew of Malta,FIRST JEW,ACT I.,none,3,And they this day sit in the council-house,"['day', 'sit', 'council-house']"
The Jew of Malta,FIRST JEW,ACT I.,none,4,To entertain them and their embassy.,"['entertain', 'embassy']"
The Jew of Malta,BARABAS,ACT I.,none,1,"Why, let 'em come, so they come not to war;","['let', ""'em"", 'come', 'come', 'war']"
The Jew of Malta,BARABAS,ACT I.,none,2,"Or let 'em war, so we be conquerors.","['let', ""'em"", 'war', 'conquerors']"
The Jew of Malta,BARABAS,ACT I.,none,3,"Nay, let 'em combat, conquer, and kill all,","['Nay', 'let', ""'em"", 'combat', 'conquer', 'kill']"
The Jew of Malta,BARABAS,ACT I.,none,4,"So they spare me, my daughter, and my wealth.","['spare', 'daughter', 'wealth']"
The Jew of Malta,FIRST JEW,ACT I.,none,1,"Were it for confirmation of a league,","['confirmation', 'league']"
The Jew of Malta,FIRST JEW,ACT I.,none,2,They would not come in warlike manner thus.,"['would', 'come', 'warlike', 'manner', 'thus']"
The Jew of Malta,SECOND JEW,ACT I.,none,1,I fear their coming will afflict us all.,"['fear', 'coming', 'afflict']"
The Jew of Malta,BARABAS,ACT I.,none,1,"Fond men, what dream you of their multitudes?","['Fond', 'men', 'dream', 'multitudes']"
The Jew of Malta,BARABAS,ACT I.,none,2,What need they treat of peace that are in league?,"['need', 'treat', 'peace', 'league']"
The Jew of Malta,BARABAS,ACT I.,none,3,The Turks and those of Malta are in league:,"['Turks', 'Malta', 'league']"
The Jew of Malta,BARABAS,ACT I.,none,4,"Tut, tut, there is some other matter in't.","['Tut', 'tut', 'matter', ""n't""]"
The Jew of Malta,FIRST JEW,ACT I.,none,1,"Why, Barabas, they come for peace or war.","['Barabas', 'come', 'peace', 'war']"
The Jew of Malta,BARABAS,ACT I.,none,1,"Haply for neither, but to pass along,","['Haply', 'neither', 'pass', 'along']"
The Jew of Malta,BARABAS,ACT I.,none,2,"Towards Venice, by the Adriatic sea,","['Towards', 'Venice', 'Adriatic', 'sea']"
The Jew of Malta,BARABAS,ACT I.,none,3,"With whom they have attempted many times,","['attempted', 'many', 'times']"
The Jew of Malta,BARABAS,ACT I.,none,4,But never could effect their stratagem.,"['never', 'could', 'effect', 'stratagem']"
The Jew of Malta,THIRD JEW,ACT I.,none,1,And very wisely said; it may be so.,"['wisely', 'said', 'may']"
The Jew of Malta,SECOND JEW,ACT I.,none,1,"But there's a meeting in the senate-house,","['meeting', 'senate-house']"
The Jew of Malta,SECOND JEW,ACT I.,none,2,And all the Jews in Malta must be there.,"['Jews', 'Malta', 'must']"
The Jew of Malta,BARABAS,ACT I.,none,1,"Hum,?all the Jews in Malta must be there!","['Hum', '\x94all', 'Jews', 'Malta', 'must']"
The Jew of Malta,BARABAS,ACT I.,none,2,"Ay, like enough:  why, then, let every man","['Ay', 'like', 'enough', 'let', 'every', 'man']"
The Jew of Malta,BARABAS,ACT I.,none,3,"Provide him, and be there for fashion-sake.","['Provide', 'fashion-sake']"
The Jew of Malta,BARABAS,ACT I.,none,4,"If any thing shall there concern our state,","['thing', 'shall', 'concern', 'state']"
The Jew of Malta,BARABAS,ACT I.,none,5,Assure yourselves I'll look?unto myself.,"['Assure', 'look', '\x94unto']"
The Jew of Malta,FIRST JEW,ACT I.,none,1,"I know you will.?Well, brethren, let us go.","['know', '\x94Well', 'brethren', 'let', 'go']"
The Jew of Malta,SECOND JEW,ACT I.,none,1,"Let's take our leaves.?Farewell, good Barabas.","['Let', 'take', 'leaves', '\x94Farewell', 'good', 'Barabas']"
The Jew of Malta,BARABAS,ACT I.,none,1,"And, Barabas, now search this secret out;","['Barabas', 'search', 'secret']"
The Jew of Malta,BARABAS,ACT I.,none,2,"Summon thy senses, call thy wits together:","['Summon', 'senses', 'call', 'wits', 'together']"
The Jew of Malta,BARABAS,ACT I.,none,3,These silly men mistake the matter clean.,"['silly', 'men', 'mistake', 'matter', 'clean']"
The Jew of Malta,BARABAS,ACT I.,none,4,Long to the Turk did Malta contribute;,"['Long', 'Turk', 'Malta', 'contribute']"
The Jew of Malta,BARABAS,ACT I.,none,5,"Which tribute all in policy, I fear,","['tribute', 'policy', 'fear']"
The Jew of Malta,BARABAS,ACT I.,none,6,The Turk has  let increase to such a sum,"['Turk', 'let', 'increase', 'sum']"
The Jew of Malta,BARABAS,ACT I.,none,7,As all the wealth of Malta cannot pay;,"['wealth', 'Malta', 'pay']"
The Jew of Malta,BARABAS,ACT I.,none,8,"And now by that advantage thinks, belike,","['advantage', 'thinks', 'belike']"
The Jew of Malta,BARABAS,ACT I.,none,9,"To seize upon the town; ay, that he seeks.","['seize', 'upon', 'town', 'ay', 'seeks']"
The Jew of Malta,BARABAS,ACT I.,none,10,"Howe'er the world go, I'll make sure for one,","[""Howe'er"", 'world', 'go', 'make', 'sure', 'one']"
The Jew of Malta,BARABAS,ACT I.,none,11,"And seek in time to intercept the worst,","['seek', 'time', 'intercept', 'worst']"
The Jew of Malta,BARABAS,ACT I.,none,12,Warily guarding that which I ha' got:,"['Warily', 'guarding', 'ha', 'got']"
