play_name,character,act,scene,sentence,text
The Jew of Malta,FIRST JEW,ACT I.,none,1,"A fleet of warlike galleys, Barabas,"
The Jew of Malta,FIRST JEW,ACT I.,none,2,"Are come from Turkey, and lie in our road:"
The Jew of Malta,FIRST JEW,ACT I.,none,3,And they this day sit in the council-house
The Jew of Malta,FIRST JEW,ACT I.,none,4,To entertain them and their embassy.
The Jew of Malta,BARABAS,ACT I.,none,1,"Why, let 'em come, so they come not to war;"
The Jew of Malta,BARABAS,ACT I.,none,2,"Or let 'em war, so we be conquerors."
The Jew of Malta,BARABAS,ACT I.,none,3,"Nay, let 'em combat, conquer, and kill all,"
The Jew of Malta,BARABAS,ACT I.,none,4,"So they spare me, my daughter, and my wealth."
The Jew of Malta,FIRST JEW,ACT I.,none,1,"Were it for confirmation of a league,"
The Jew of Malta,FIRST JEW,ACT I.,none,2,They would not come in warlike manner thus.
The Jew of Malta,SECOND JEW,ACT I.,none,1,I fear their coming will afflict us all.
The Jew of Malta,BARABAS,ACT I.,none,1,"Fond men, what dream you of their multitudes?"
The Jew of Malta,BARABAS,ACT I.,none,2,What need they treat of peace that are in league?
The Jew of Malta,BARABAS,ACT I.,none,3,The Turks and those of Malta are in league:
The Jew of Malta,BARABAS,ACT I.,none,4,"Tut, tut, there is some other matter in't."
The Jew of Malta,FIRST JEW,ACT I.,none,1,"Why, Barabas, they come for peace or war."
The Jew of Malta,BARABAS,ACT I.,none,1,"Haply for neither, but to pass along,"
The Jew of Malta,BARABAS,ACT I.,none,2,"Towards Venice, by the Adriatic sea,"
The Jew of Malta,BARABAS,ACT I.,none,3,"With whom they have attempted many times,"
The Jew of Malta,BARABAS,ACT I.,none,4,But never could effect their stratagem.
The Jew of Malta,THIRD JEW,ACT I.,none,1,And very wisely said; it may be so.
The Jew of Malta,SECOND JEW,ACT I.,none,1,"But there's a meeting in the senate-house,"
The Jew of Malta,SECOND JEW,ACT I.,none,2,And all the Jews in Malta must be there.
The Jew of Malta,BARABAS,ACT I.,none,1,"Hum,?”all the Jews in Malta must be there!"
The Jew of Malta,BARABAS,ACT I.,none,2,"Ay, like enough:  why, then, let every man"
The Jew of Malta,BARABAS,ACT I.,none,3,"Provide him, and be there for fashion-sake."
The Jew of Malta,BARABAS,ACT I.,none,4,"If any thing shall there concern our state,"
The Jew of Malta,BARABAS,ACT I.,none,5,Assure yourselves I'll look?”unto myself.
The Jew of Malta,FIRST JEW,ACT I.,none,1,"I know you will.?”Well, brethren, let us go."
The Jew of Malta,SECOND JEW,ACT I.,none,1,"Let's take our leaves.?”Farewell, good Barabas."
The Jew of Malta,BARABAS,ACT I.,none,1,"And, Barabas, now search this secret out;"
The Jew of Malta,BARABAS,ACT I.,none,2,"Summon thy senses, call thy wits together:"
The Jew of Malta,BARABAS,ACT I.,none,3,These silly men mistake the matter clean.
The Jew of Malta,BARABAS,ACT I.,none,4,Long to the Turk did Malta contribute;
The Jew of Malta,BARABAS,ACT I.,none,5,"Which tribute all in policy, I fear,"
The Jew of Malta,BARABAS,ACT I.,none,6,The Turk has  let increase to such a sum
The Jew of Malta,BARABAS,ACT I.,none,7,As all the wealth of Malta cannot pay;
The Jew of Malta,BARABAS,ACT I.,none,8,"And now by that advantage thinks, belike,"
The Jew of Malta,BARABAS,ACT I.,none,9,"To seize upon the town; ay, that he seeks."
The Jew of Malta,BARABAS,ACT I.,none,10,"Howe'er the world go, I'll make sure for one,"
The Jew of Malta,BARABAS,ACT I.,none,11,"And seek in time to intercept the worst,"
The Jew of Malta,BARABAS,ACT I.,none,12,Warily guarding that which I ha' got:
The Jew of Malta,BARABAS,ACT I.,none,13,Ego mihimet sum semper proximus:
The Jew of Malta,BARABAS,ACT I.,none,14,"Why, let 'em enter, let 'em take the town."
The Jew of Malta,FERNEZE,ACT I.,none,1,"Now, bassoes,  what demand you at our hands?"
